model,at_risk_recall,at_risk_precision,weighted_f1,seed,n_train_engines,n_test_engines
LR_health_window_1feat,0.9758,0.6429,0.9247,42,80,20
RF_21_raw_sensors,0.9371,0.8149,0.9613,42,80,20
